Operon,IdGene,Type,COGgene,start,end,end.gff,Strand,Function,chr,acc,locus_tag,old_locus_tag,length_nt,type,annotation
34,cds46,CDS,COG0165,46806,48272,48272,-,[E] Argininosuccinate lyase    ,NC_013967.1,WP_004045061.1,HVO_RS04935,HVO_0048,1467,protein_coding,argininosuccinate lyase
34,cds47,CDS,COG0137,48274,49491,49491,-,[E] Argininosuccinate synthase    ,NC_013967.1,WP_004045062.1,HVO_RS04940,HVO_0049,1218,protein_coding,argininosuccinate synthase
35,cds48,CDS,COG0475,49976,51190,51190,-,"[P] Kef-type K+ transport systems, membrane components",NC_013967.1,WP_004045066.1,HVO_RS04945,HVO_0051,1215,protein_coding,cation:proton antiporter
35,cds49,CDS,COG0490,51190,51675,51675,-,"[P] Putative regulatory, ligand-binding protein related to",NC_013967.1,WP_004045067.1,HVO_RS04950,HVO_0052,486,protein_coding,potassium transporter TrkA
35,cds50,CDS,COG0170,51719,52321,52321,-,[I] Dolichol kinase    ,NC_013967.1,WP_004045069.1,HVO_RS04955,HVO_0053,603,protein_coding,hypothetical protein
35,cds51,CDS,COG0423,52328,54112,54112,-,[J] Glycyl-tRNA synthetase (class II)  ,NC_013967.1,WP_004045074.1,HVO_RS04960,HVO_0054,1785,protein_coding,glycine--tRNA ligase
35,cds52,CDS,COG0517,54105,54959,54959,-,[R] FOG: CBS domain   ,NC_013967.1,WP_004045076.1,HVO_RS04965,HVO_0055,855,protein_coding,CBS domain-containing protein
36,cds55,CDS,COG4608,56181,57515,57515,-,"[E] ABC-type oligopeptide transport system, ATPase component",NC_013967.1,WP_004045083.1,HVO_RS04980,HVO_0058,1335,protein_coding,peptide ABC transporter ATP-binding protein
36,cds56,CDS,COG0444,57512,58591,58591,-,"[EP] ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component",NC_013967.1,WP_004045086.1,HVO_RS04985,HVO_0059,1080,protein_coding,ABC transporter ATP-binding protein
36,cds57,CDS,COG1173,58588,60027,60027,-,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",NC_013967.1,WP_004045088.1,HVO_RS04990,HVO_0060,1440,protein_coding,ABC transporter permease
36,cds58,CDS,COG0601,60034,61083,61083,-,"[EP] ABC-type dipeptide/oligopeptide/nickel transport systems, permease components",NC_013967.1,WP_004045089.1,HVO_RS04995,HVO_0061,1050,protein_coding,ABC transporter permease
36,cds59,CDS,COG0747,61296,63134,63134,-,"[E] ABC-type dipeptide transport system, periplasmic component",NC_013967.1,WP_004045090.1,HVO_RS05000,HVO_0062,1839,protein_coding,ABC transporter substrate-binding protein
37,cds60,CDS,COG1661,63622,64041,64041,+,[R] Predicted DNA-binding protein with PD1-like DNA-binding,NC_013967.1,WP_004045093.1,HVO_RS05005,HVO_0064,420,protein_coding,DUF296 domain-containing protein
37,cds61,CDS,COG1933,64044,67652,67652,+,"[L] Archaeal DNA polymerase II, large subunit",NC_013967.1,WP_004045095.1,HVO_RS05010,HVO_0065,3609,protein_coding,DNA polymerase II large subunit
38,cds62,CDS,COG1520,67810,69072,69072,-,[S] FOG: WD40-like repeat   ,NC_013967.1,WP_004045104.1,HVO_RS05015,HVO_0066,1263,protein_coding,PQQ repeat-containing protein
40,cds64,CDS,COG1893,69607,70503,70503,+,[H] Ketopantoate reductase    ,NC_013967.1,WP_004045108.1,HVO_RS05025,HVO_0068,897,protein_coding,ketopantoate reductase family protein
41,cds65,CDS,COG3119,70535,72082,72082,-,[P] Arylsulfatase A and related enzymes ,NC_013967.1,WP_004045110.1,HVO_RS05030,HVO_0069,1548,protein_coding,sulfatase
42,cds66,CDS,COG0694,72161,72538,72538,-,[O] Thioredoxin-like proteins and domains  ,NC_013967.1,WP_004045112.1,HVO_RS05035,HVO_0070,378,protein_coding,hypothetical protein
44,cds69,CDS,COG2326,73836,74666,74666,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004045118.1,HVO_RS05050,HVO_0074,831,protein_coding,polyphosphate kinase 2
45,cds70,CDS,COG0618,74663,76093,76093,-,[R] Exopolyphosphatase-related proteins    ,NC_013967.1,WP_004045120.1,HVO_RS05055,HVO_0073,1431,protein_coding,recombinase RecJ
46,cds71,CDS,COG2814,76230,77447,77447,-,[G] Arabinose efflux permease   ,NC_013967.1,WP_004045122.1,HVO_RS05060,HVO_0075,1218,protein_coding,MFS transporter
46,cds72,CDS,COG1587,77449,78192,78192,-,[H] Uroporphyrinogen-III synthase    ,NC_013967.1,WP_004045125.1,HVO_RS05065,HVO_0076,744,protein_coding,uroporphyrinogen-III synthase
46,cds73,CDS,COG0007,78189,79070,79070,-,[H] Uroporphyrinogen-III methylase    ,NC_013967.1,WP_004045127.1,HVO_RS05070,HVO_0077,882,protein_coding,uroporphyrinogen-III C-methyltransferase
46,cds74,CDS,COG0181,79072,80163,80163,-,[H] Porphobilinogen deaminase    ,NC_013967.1,WP_013035663.1,HVO_RS05075,HVO_0078,1092,protein_coding,hydroxymethylbilane synthase
49,cds77,CDS,COG0001,81002,82339,82339,-,[H] Glutamate-1-semialdehyde aminotransferase    ,NC_013967.1,WP_004045135.1,HVO_RS05090,HVO_0081,1338,protein_coding,"glutamate-1-semialdehyde 2,1-aminomutase"
51,cds79,CDS,COG0347,83382,83753,83753,-,[E] Nitrogen regulatory protein PII  ,NC_013967.1,WP_004045139.1,HVO_RS05100,HVO_0083,372,protein_coding,P-II family nitrogen regulator
51,cds80,CDS,COG0004,83757,85127,85127,-,[P] Ammonia permease    ,NC_013967.1,WP_013035275.1,HVO_RS05105,HVO_0084,1371,protein_coding,ammonium transporter
51,cds81,CDS,COG0347,85507,85866,85866,-,[E] Nitrogen regulatory protein PII  ,NC_013967.1,WP_004045143.1,HVO_RS05110,HVO_0085,360,protein_coding,P-II family nitrogen regulator
51,cds82,CDS,COG0004,85863,87281,87281,-,[P] Ammonia permease    ,NC_013967.1,WP_004045146.1,HVO_RS05115,HVO_0086,1419,protein_coding,ammonium transporter
52,cds83,CDS,COG0113,87625,88608,88608,-,[H] Delta-aminolevulinic acid dehydratase   ,NC_013967.1,WP_004045148.1,HVO_RS05120,HVO_0087,984,protein_coding,porphobilinogen synthase
53,cds84,CDS,COG0586,88714,89226,89226,+,[S] Uncharacterized membrane-associated protein   ,NC_013967.1,NA,HVO_RS05125,NA,513,pseudogene,hypothetical protein
54,cds85,CDS,COG0613,89547,90341,90341,-,[R] Predicted metal-dependent phosphoesterases (PHP family) ,NC_013967.1,WP_004045159.1,HVO_RS05130,HVO_0091,795,protein_coding,PHP domain-containing protein
58,cds89,CDS,COG0702,93097,94029,94029,-,[MG] Predicted nucleoside-diphosphate-sugar epimerases   ,NC_013967.1,WP_004045172.1,HVO_RS05150,HVO_0096,933,protein_coding,NADH-binding protein
61,cds92,CDS,COG1199,95441,97351,97351,+,[KL] Rad3-related DNA helicases   ,NC_013967.1,WP_004045179.1,HVO_RS05165,HVO_0099,1911,protein_coding,ATP-dependent DNA helicase
62,cds93,CDS,COG2886,97756,97950,97950,+,[S] Uncharacterized small protein   ,NC_013967.1,WP_004045182.1,HVO_RS05170,HVO_0099A,195,protein_coding,hypothetical protein
63,cds94,CDS,COG1499,98087,99214,99214,-,[J] NMD protein affecting ribosome stability and,NC_013967.1,WP_004045183.1,HVO_RS05175,HVO_0100,1128,protein_coding,hypothetical protein
64,cds95,CDS,COG1926,99292,99930,99930,-,[R] Predicted phosphoribosyltransferases    ,NC_013967.1,WP_004045184.1,HVO_RS05180,HVO_0101,639,protein_coding,phosphoribosyltransferase
65,cds96,CDS,COG0501,100055,100936,100936,+,[O] Zn-dependent protease with chaperone function ,NC_013967.1,WP_004045186.1,HVO_RS05185,HVO_0102,882,protein_coding,zinc metalloprotease HtpX
66,cds98,CDS,COG0468,101807,102838,102838,+,[L] RecA/RadA recombinase    ,NC_013967.1,WP_004045193.1,HVO_RS05195,HVO_0104,1032,protein_coding,DNA repair and recombination protein RadA
67,cds99,CDS,COG1252,103089,104234,104234,+,"[C] NADH dehydrogenase, FAD-containing subunit  ",NC_013967.1,WP_004045195.1,HVO_RS05200,HVO_0105,1146,protein_coding,NAD(P)/FAD-dependent oxidoreductase
67,cds100,CDS,COG2427,104245,104658,104658,+,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004045197.1,HVO_RS05205,HVO_0106,414,protein_coding,DUF1641 domain-containing protein
68,cds101,CDS,COG0822,104705,105133,105133,-,[C] NifU homolog involved in Fe-S cluster,NC_013967.1,WP_004045199.1,HVO_RS05210,HVO_0107,429,protein_coding,SUF system NifU family Fe-S cluster assembly protein
70,cds103,CDS,COG0520,105867,107147,107147,-,[E] Selenocysteine lyase    ,NC_013967.1,WP_049914909.1,HVO_RS05220,HVO_0109,1281,protein_coding,cysteine desulfurase
71,cds104,CDS,COG2205,107327,108373,108373,+,[T] Osmosensitive K+ channel histidine kinase ,NC_013967.1,WP_004045206.1,HVO_RS05225,HVO_0110,1047,protein_coding,PAS domain-containing sensor histidine kinase
72,cds105,CDS,COG2412,108419,108721,108721,-,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004045208.1,HVO_RS05230,HVO_0111,303,protein_coding,DUF424 domain-containing protein
72,cds106,CDS,COG0457,108722,109462,109462,-,[R] FOG: TPR repeat   ,NC_013967.1,WP_004045209.1,HVO_RS05235,HVO_0112,741,protein_coding,tetratricopeptide repeat protein
73,cds107,CDS,COG0406,109554,110171,110171,+,"[G] Fructose-2,6-bisphosphatase     ",NC_013967.1,WP_004045211.1,HVO_RS05240,HVO_0113,618,protein_coding,histidine phosphatase family protein
73,cds108,CDS,COG1514,110198,110752,110752,+,[J] 2'-5' RNA ligase   ,NC_013967.1,WP_004045212.1,HVO_RS05245,HVO_0114,555,protein_coding,"RNA 2',3'-cyclic phosphodiesterase"
74,cds109,CDS,COG2167,110903,111055,111055,+,[J] Ribosomal protein L39E   ,NC_013967.1,WP_004045214.1,HVO_RS05250,HVO_0115,153,protein_coding,50S ribosomal protein L39e
74,cds110,CDS,COG2097,111059,111337,111337,+,[J] Ribosomal protein L31E   ,NC_013967.1,WP_004045216.1,HVO_RS05255,HVO_0116,279,protein_coding,50S ribosomal protein L31e
74,cds111,CDS,COG1976,111341,112006,112006,+,[J] Translation initiation factor 6 (eIF-6) ,NC_013967.1,WP_004045218.1,HVO_RS05260,HVO_0117,666,protein_coding,translation initiation factor IF-6
74,cds112,CDS,COG2157,112088,112264,112264,+,[J] Ribosomal protein L20A (L18A)  ,NC_013967.1,WP_004045220.1,HVO_RS05265,HVO_0118,177,protein_coding,50S ribosomal protein L18a
74,cds113,CDS,COG1730,112264,112734,112734,+,"[O] Predicted prefoldin, molecular chaperone implicated in",NC_013967.1,WP_004045222.1,HVO_RS05270,HVO_0119,471,protein_coding,prefoldin subunit alpha
74,cds114,CDS,COG0552,112767,114137,114137,+,[U] Signal recognition particle GTPase  ,NC_013967.1,WP_004045232.1,HVO_RS05275,HVO_0120,1371,protein_coding,signal recognition particle-docking protein FtsY
75,cds115,CDS,COG1280,114180,114797,114797,-,[E] Putative threonine efflux protein  ,NC_013967.1,WP_004045233.1,HVO_RS05280,HVO_0121,618,protein_coding,LysE family translocator
75,cds116,CDS,COG1052,114831,115805,115805,-,[CHR] Lactate dehydrogenase and related dehydrogenases ,NC_013967.1,WP_004045234.1,HVO_RS05285,HVO_0122,975,protein_coding,D-2-hydroxyacid dehydrogenase
76,cds117,CDS,COG0541,115896,117293,117293,+,[U] Signal recognition particle GTPase  ,NC_013967.1,WP_004045235.1,HVO_RS05290,HVO_0123,1398,protein_coding,signal recognition particle
77,cds118,CDS,COG1824,117403,117984,117984,+,"[P] Permease, similar to cation transporters ",NC_013967.1,WP_004045236.1,HVO_RS05295,HVO_0124,582,protein_coding,membrane protein
77,cds119,CDS,COG1824,117985,118545,118545,+,"[P] Permease, similar to cation transporters ",NC_013967.1,WP_004045237.1,HVO_RS05300,HVO_0125,561,protein_coding,ABC transporter permease
78,cds120,CDS,COG3366,118620,119639,119639,+,[S] Uncharacterized protein conserved in archaea ,NC_013967.1,WP_004045238.1,HVO_RS05305,HVO_0126,1020,protein_coding,hypothetical protein
79,cds121,CDS,COG1931,119674,120090,120090,-,[S] Uncharacterized protein conserved in archaea ,NC_013967.1,WP_004045239.1,HVO_RS05310,HVO_0127,417,protein_coding,hypothetical protein
81,cds125,CDS,COG1408,121969,122181,122181,+,[R] Predicted phosphohydrolases    ,NC_013967.1,WP_049914910.1,HVO_RS05335,NA,213,protein_coding,hypothetical protein
82,cds126,CDS,COG2274,122368,122781,122781,-,"[V] ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal",NC_013967.1,WP_004045244.1,HVO_RS05340,HVO_0132,414,protein_coding,hypothetical protein
83,cds127,CDS,COG0459,123087,124739,124739,-,[O] Chaperonin GroEL (HSP60 family)  ,NC_013967.1,WP_004045245.1,HVO_RS05345,HVO_0133,1653,protein_coding,thermosome subunit
84,cds128,CDS,COG1094,124992,125534,125534,-,[R] Predicted RNA-binding protein (contains KH domains),NC_013967.1,WP_004045246.1,HVO_RS05350,HVO_0134,543,protein_coding,RNA-processing protein
84,cds129,CDS,COG1718,125628,126500,126500,-,[TD] Serine/threonine protein kinase involved in cell,NC_013967.1,WP_004045247.1,HVO_RS05355,HVO_0135,873,protein_coding,serine/threonine protein kinase
84,cds130,CDS,COG0361,126602,126892,126892,-,[J] Translation initiation factor 1 (IF-1) ,NC_013967.1,WP_004045248.1,HVO_RS05360,HVO_0136,291,protein_coding,translation initiation factor eIF-1A
86,cds132,CDS,COG0657,127203,128030,128030,-,[I] Esterase/lipase     ,NC_013967.1,WP_004045250.1,HVO_RS05370,HVO_0137,828,protein_coding,alpha/beta hydrolase
89,cds135,CDS,COG2433,129520,131589,131589,-,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004045253.1,HVO_RS05385,HVO_0140,2070,protein_coding,DUF460 domain-containing protein
91,cds138,CDS,COG0384,133150,134028,134028,-,"[R] Predicted epimerase, PhzC/PhzF homolog  ",NC_013967.1,WP_004045256.1,HVO_RS05400,HVO_0143,879,protein_coding,PhzF family phenazine biosynthesis protein
91,cds139,CDS,COG1234,134083,135036,135036,-,[R] Metal-dependent hydrolases of the beta-lactamase superfamily,NC_013967.1,WP_049914911.1,HVO_RS05405,HVO_0144,954,protein_coding,ribonuclease Z
92,cds140,CDS,COG0470,135168,136193,136193,+,[L] ATPase involved in DNA replication ,NC_013967.1,WP_004045258.1,HVO_RS05410,HVO_0145,1026,protein_coding,ATPase AAA
92,cds141,CDS,COG0688,136193,136798,136798,+,[I] Phosphatidylserine decarboxylase    ,NC_013967.1,WP_004045259.1,HVO_RS05415,HVO_0146,606,protein_coding,phosphatidylserine decarboxylase
93,cds142,CDS,COG0832,137039,137458,137458,+,[E] Urea amidohydrolase (urease) beta subunit ,NC_013967.1,WP_004045260.1,HVO_RS05420,HVO_0147,420,protein_coding,urease subunit beta
93,cds143,CDS,COG0804,137455,139161,139161,+,[E] Urea amidohydrolase (urease) alpha subunit ,NC_013967.1,WP_004045261.1,HVO_RS05425,HVO_0148,1707,protein_coding,urease subunit alpha
93,cds144,CDS,COG0831,139158,139553,139553,+,[E] Urea amidohydrolase (urease) gamma subunit ,NC_013967.1,WP_004045262.1,HVO_RS05430,HVO_0149,396,protein_coding,urease subunit gamma
93,cds145,CDS,COG0378,139550,140173,140173,+,[OK] Ni2+-binding GTPase involved in regulation of,NC_013967.1,WP_004045263.1,HVO_RS05435,HVO_0150,624,protein_coding,urease accessory protein UreG
93,cds146,CDS,COG0829,140173,141072,141072,+,[O] Urease accessory protein UreH  ,NC_013967.1,WP_004045264.1,HVO_RS05440,HVO_0151,900,protein_coding,urease accessory protein UreD
93,cds147,CDS,COG2371,141072,141731,141731,+,[O] Urease accessory protein UreE  ,NC_013967.1,WP_004045265.1,HVO_RS05445,HVO_0152,660,protein_coding,urease accessory protein UreE
93,cds148,CDS,COG0830,141728,142417,142417,+,[O] Urease accessory protein UreF  ,NC_013967.1,WP_004045266.1,HVO_RS05450,HVO_0153,690,protein_coding,urease accessory protein UreF
96,cds151,CDS,COG1041,143303,144259,144259,-,[L] Predicted DNA modification methylase  ,NC_013967.1,WP_004045269.1,HVO_RS05465,HVO_0156,957,protein_coding,methyltransferase domain-containing protein
97,cds153,CDS,COG2101,144786,145355,145355,+,"[K] TATA-box binding protein (TBP), component of",NC_013967.1,WP_004045271.1,HVO_RS05475,HVO_0158,570,protein_coding,transcription factor
98,cds155,CDS,COG1266,145831,146799,146799,+,[R] Predicted metal-dependent membrane protease  ,NC_013967.1,WP_049914912.1,HVO_RS05485,HVO_0160,969,protein_coding,CPBP family intramembrane metalloprotease domain-containing protein
99,cds156,CDS,COG0040,146821,147666,147666,-,[E] ATP phosphoribosyltransferase    ,NC_013967.1,WP_004045274.1,HVO_RS05490,HVO_0161,846,protein_coding,ATP phosphoribosyltransferase
101,cds158,CDS,COG3398,148866,149378,149378,-,[S] Uncharacterized protein conserved in archaea ,NC_013967.1,WP_004045277.1,HVO_RS05500,HVO_0163,513,protein_coding,transcriptional regulator
102,cds160,CDS,COG0402,149886,151178,151178,+,[FR] Cytosine deaminase and related metal-dependent hydrolases,NC_013967.1,WP_004045279.1,HVO_RS05510,HVO_0165,1293,protein_coding,S-adenosylhomocysteine deaminase
104,cds162,CDS,COG0499,151659,152945,152945,+,[H] S-adenosylhomocysteine hydrolase    ,NC_013967.1,WP_004045281.1,HVO_RS05520,HVO_0167,1287,protein_coding,adenosylhomocysteinase
105,cds163,CDS,COG2076,153018,153350,153350,-,[P] Membrane transporters of cations and cationic,NC_013967.1,WP_004045282.1,HVO_RS05525,HVO_0168,333,protein_coding,QacE family quaternary ammonium compound efflux SMR transporter
106,cds164,CDS,COG1378,153435,154259,154259,+,[K] Predicted transcriptional regulators   ,NC_013967.1,WP_049914915.1,HVO_RS05530,HVO_0169,825,protein_coding,TrmB family transcriptional regulator
107,cds165,CDS,COG1591,154332,154754,154754,+,[L] Holliday junction resolvase - archaeal type,NC_013967.1,WP_004045284.1,HVO_RS05535,HVO_0170,423,protein_coding,nucleoid-structuring protein H-NS
110,cds168,CDS,COG2219,155952,157052,157052,-,"[L] Eukaryotic-type DNA primase, large subunit ",NC_013967.1,WP_013035269.1,HVO_RS05550,HVO_0173,1101,protein_coding,DNA primase
113,cds171,CDS,COG0394,158945,159406,159406,+,[T] Protein-tyrosine-phosphatase     ,NC_013967.1,WP_004045290.1,HVO_RS05565,HVO_0177,462,protein_coding,ArsC family transcriptional regulator
114,cds172,CDS,COG0531,159403,161649,161649,-,[E] Amino acid transporters   ,NC_013967.1,WP_004045291.1,HVO_RS05570,HVO_0176,2247,protein_coding,amino acid permease
115,cds173,CDS,COG0569,162031,162816,162816,+,"[P] K+ transport systems, NAD-binding component ",NC_013967.1,WP_004045293.1,HVO_RS05575,HVO_0179,786,protein_coding,HTH domain-containing protein
116,cds174,CDS,COG0293,162982,163761,163761,+,[J] 23S rRNA methylase   ,NC_013967.1,WP_004045294.1,HVO_RS05580,HVO_0180,780,protein_coding,23S rRNA methyltransferase
118,cds176,CDS,COG1738,164618,165337,165337,-,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004045297.1,HVO_RS05590,HVO_0183,720,protein_coding,hypothetical protein
118,cds177,CDS,COG3609,165330,165506,165506,-,[K] Predicted transcriptional regulators containing the CopG/Arc/MetJ,NC_013967.1,WP_004045298.1,HVO_RS05595,HVO_0184,177,protein_coding,"ribbon-helix-helix protein, CopG family"
119,cds178,CDS,COG0805,165626,167782,167782,-,[U] Sec-independent protein secretion pathway component TatC,NC_013967.1,WP_004045299.1,HVO_RS05600,HVO_0185,2157,protein_coding,preprotein translocase subunit TatC
120,cds179,CDS,COG0805,167913,169238,169238,+,[U] Sec-independent protein secretion pathway component TatC,NC_013967.1,WP_004045300.1,HVO_RS05605,HVO_0186,1326,protein_coding,preprotein translocase subunit TatC
122,cds181,CDS,COG4891,169702,170184,170184,-,[S] Uncharacterized conserved protein   ,NC_013967.1,WP_004045302.1,HVO_RS05615,HVO_0188,483,protein_coding,SRPBCC domain-containing protein
123,cds182,CDS,COG0406,170259,170897,170897,+,"[G] Fructose-2,6-bisphosphatase     ",NC_013967.1,WP_004045303.1,HVO_RS05620,HVO_0189,639,protein_coding,histidine phosphatase family protein
124,cds183,CDS,COG1606,170943,171839,171839,-,[R] ATP-utilizing enzymes of the PP-loop superfamily,NC_013967.1,WP_004045304.1,HVO_RS05625,HVO_0190,897,protein_coding,alpha hydrolase
